Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4744335,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_MLE,2018,,,,,,,80.7 [80.6-80.7],80.658805,80.60125162,80.71635838,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4805906,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_MLE,2019,,,,,,,73.9 [73.9-74.0],73.94224118,73.93130496,74.00720764,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4826054,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_MLE,2015,,,,,,,78.2 [78.2-78.2],78.16406622,78.15570449,78.24086515,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4854934,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_MLE,2021,,,,,,,78.1 [78.1-78.2],78.14950267,78.09050005,78.20850529,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4857154,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_FMLE,2016,,,,,,,83.8 [83.8-83.8],83.77159778,83.75844944,83.84887506,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4889123,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,81.1 [81.1-81.2],81.14751452,81.13427477,81.22320145,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5044485,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,82.8 [82.7-82.9],82.7647775,82.74970736,82.85580179,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5132592,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,83.6 [83.6-83.7],83.6414252,83.62798969,83.71998052,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5136604,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,78.5 [78.5-78.6],78.49165481,78.46508252,78.597166,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5185902,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,82.3 [82.3-82.4],82.32940416,82.27065139,82.38815692,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5242549,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_BTSX,2016,,,,,,,80.7 [80.7-80.8],80.71256832,80.70056732,80.79739072,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5245007,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,82.7 [82.7-82.8],82.70012722,82.68964192,82.78295676,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5376445,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_FMLE,2017,,,,,,,78.8 [78.8-78.9],78.76755562,78.75085214,78.85865782,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5402702,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,81.9 [81.9-82.0],81.90513823,81.88897093,81.97495352,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5479654,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_BTSX,2021,,,,,,,75.4 [75.4-75.5],75.4021086,75.38592987,75.49627316,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5505324,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_BTSX,2021,,,,,,,81.2 [81.2-81.3],81.17961003,81.16029382,81.26505849,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5554160,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,84.6 [84.6-84.7],84.59650146,84.59226351,84.65828123,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5595617,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_BTSX,2016,,,,,,,82.7 [82.7-82.8],82.73070599,82.67353644,82.78787554,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5632926,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_MLE,2021,,,,,,,79.1 [79.1-79.2],79.07623773,79.06590633,79.15215419,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5661691,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,84.3 [84.2-84.3],84.25877562,84.20076435,84.31678689,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5712675,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_FMLE,2019,,,,,,,84.9 [84.9-85.0],84.91374148,84.86097162,84.96651135,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5785559,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_BTSX,2019,,,,,,,83.0 [82.9-83.0],82.98522568,82.92722223,83.04322913,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5803306,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_MLE,2019,,,,,,,80.9 [80.9-81.0],80.93606726,80.8772756,80.99485892,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5812792,WHOSIS_000001,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_MLE,2019,,,,,,,80.8 [80.8-80.9],80.84521805,80.83646602,80.92740996,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5855018,WHOSIS_000001,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_BTSX,2021,,,,,,,81.5 [81.5-81.6],81.5059627,81.46589972,81.60981568,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5873485,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_MLE,2016,,,,,,,71.5 [71.4-71.6],71.48354448,71.44899946,71.58123788,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6032496,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_MLE,2021,,,,,,,71.6 [71.5-71.6],71.5530382,71.53083907,71.63224554,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6041641,WHOSIS_000001,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,83.3 [83.3-83.4],83.29827128,83.29086093,83.3732706,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6235538,WHOSIS_000001,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,82.9 [82.9-82.9],82.86409019,82.86020438,82.9398723,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6243429,WHOSIS_000001,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_BTSX,2019,,,,,,,81.6 [81.6-81.7],81.60895006,81.59409221,81.6973202,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6309444,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_FMLE,2019,,,,,,,84.1 [84.1-84.2],84.14959418,84.13089883,84.23744775,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
